step,action,reward,done,agent_x,agent_y,agent_z,agent_energy,altitude,steps_so_far,energy,total_nectar_collected,flowers_found_this_episode,last_flower_visited,nearest_flower_distance
0,3,-0.0505,False,6.0,5.0,4.0,99.0,4.0,1,99.0,0.0,0,-1,3.111506700515747
1,2,-0.051000000000000004,False,5.0,5.0,4.0,98.0,4.0,2,98.0,0.0,0,-1,2.3266894817352295
2,1,-0.051500000000000004,False,5.0,6.0,4.0,97.0,4.0,3,97.0,0.0,0,-1,1.9406687021255493
3,0,-0.052000000000000005,False,5.0,5.0,4.0,96.0,4.0,4,96.0,0.0,0,-1,2.3266894817352295
4,0,-0.052500000000000005,False,5.0,4.0,4.0,95.0,4.0,5,95.0,0.0,0,-1,2.1310031414031982
5,1,-0.053000000000000005,False,5.0,5.0,4.0,94.0,4.0,6,94.0,0.0,0,-1,2.3266894817352295
6,0,-0.0535,False,5.0,4.0,4.0,93.0,4.0,7,93.0,0.0,0,-1,2.1310031414031982
7,0,-0.054,False,5.0,3.0,4.0,92.0,4.0,8,92.0,0.0,0,-1,1.2619074583053589
8,1,-0.0545,False,5.0,4.0,4.0,91.0,4.0,9,91.0,0.0,0,-1,2.1310031414031982
9,2,-0.055,False,4.0,4.0,4.0,90.0,4.0,10,90.0,0.0,0,-1,2.3876700401306152
10,1,-0.0555,False,4.0,5.0,4.0,89.0,4.0,11,89.0,0.0,0,-1,1.7735542058944702
11,0,-0.056,False,4.0,4.0,4.0,88.0,4.0,12,88.0,0.0,0,-1,2.3876700401306152
12,3,-0.0565,False,5.0,4.0,4.0,87.0,4.0,13,87.0,0.0,0,-1,2.1310031414031982
13,3,-0.057,False,6.0,4.0,4.0,86.0,4.0,14,86.0,0.0,0,-1,2.3197803497314453
14,5,-0.057350000000000005,False,6.0,4.0,3.0,85.30000305175781,3.0,15,85.3,0.0,0,-1,2.8243818283081055
15,1,-0.057850000000000006,False,6.0,5.0,3.0,84.30000305175781,3.0,16,84.3,0.0,0,-1,2.9478774070739746
16,6,-0.05895,False,6.0,5.0,3.0,82.0999984741211,3.0,17,82.1,0.0,0,-1,2.9478774070739746
17,5,-0.059300000000000005,False,6.0,5.0,2.0,81.4000015258789,2.0,18,81.39999999999999,0.0,0,-1,3.1142399311065674
18,1,-0.059800000000000006,False,6.0,6.0,2.0,80.4000015258789,2.0,19,80.39999999999999,0.0,0,-1,2.837463855743408
19,2,-0.060300000000000006,False,5.0,6.0,2.0,79.4000015258789,2.0,20,79.39999999999999,0.0,0,-1,1.9450478553771973
20,2,-0.06080000000000001,False,4.0,6.0,2.0,78.4000015258789,2.0,21,78.39999999999999,0.0,0,-1,1.2309433221817017
21,2,29.948999999999998,False,3.0,6.0,2.0,98.0,2.0,22,98.0,15.0,0,-1,1.1167954206466675
22,2,-0.051500000000000004,False,2.0,6.0,2.0,97.0,2.0,23,97.0,15.0,0,-1,1.726048231124878
23,4,-0.0522,False,2.0,6.0,3.0,95.5999984741211,3.0,24,95.6,15.0,0,-1,1.4038283824920654
24,4,-0.05290000000000001,False,2.0,6.0,4.0,94.19999694824219,4.0,25,94.19999999999999,15.0,0,-1,1.72111177444458
25,3,29.948999999999998,False,3.0,6.0,4.0,98.0,4.0,26,98.0,30.0,0,-1,1.109150767326355
26,2,-0.051500000000000004,False,2.0,6.0,4.0,97.0,4.0,27,97.0,30.0,0,-1,1.72111177444458
