#{"t_start": 1754214100.0321314, "env_id": "None"}
r,l,t
123.499999,122,0.12111
-89.299983,118,0.2021154.57.149979,111,0.2972742344.34998,145,0.421384-30.250001,117,0.50-104.23.3,114,0.60254139-104.2,84,0.675614
9.699997,126,0.782712
-10135.549991,109,0.8135.550251.649999,139,1.7.45,91,-104.4,88,220.700003123.85,103,1.48-104.75,95,1.554414
-104.308.549981,149,155.599999252.449996,125,99.999996,-84.75,95,1.86287.0965.299995,96,1.9377-85.25,105,2.004824
-104.35,87,2.076889
-79.6,92,2.504278
-104.2,84,2.57334
159.69-16.900001,116,2.66-82.25,105,2.744496
-37.9,98,2.822567
734.549974,235,3.02375
-104.15,83,3.086807
124.949992,105,3.173887
99.200003,132,3.639311
185.949999,123,3.734397
68.449992,101,3.811971
-77.8,96,3.888041
41.699998,132,3.995138
8.550005,121,4.099233
116.299996,90,4.172299
85.099988,106,4.260379
432.799992,158,4.402509
55.499999,122,4.875939
233.799979,120,4.970025
-44.7,114,5.062109
-104.5,90,5.142181
345.0,180,5.29432
335.249993,139,5.410425
-104.4,88,5.480998
-104.7,94,5.558646
-104.7,94,5.639809
132.849998,101,6.1643871676.8,124,6.273487
-104.55,91,6.344552
-85.35,107,6.434633
-104.75,95,6.517709
-104161.649996,155,6336.699998,172,6.7279
58.95,141,6.841003
147.649996,109,6.929083
-104.9,98,7.383497
-104.95,99,7.461567
147.899982,146,7.580676
511.649995,235,7.777855
171.449996,123,7.88195
-77.35,107,7.966027
382.799994,150,8.090139
515.249977,195,8.595599
137.199999,124,8.692687
-104.9,98,8.773761
135.799998,102,8.861841
159.549998,99,8.943916
-104.55,91,9.018984
-104.65,93,9.092051
305.099998,162,9.228174
-104.75,95,9.306245
-85.7,114,9.777675
97.949993,107,9.870759
9.95,101,9.963844
295.499999,122,10.068939
244.8,144,10.19105
198.999999,132,10.296146
-104.75,95,10706.69994-104.8,96,10.455-10494.849999,95,10.53149.74411.900004,150,11.028.7499282.299999,204,11.184954
-104.75,95,11.261-33.920.749998,143,11.375127
312.799998,200,11.550287
102.449999,127,11.660387
-85.25,105,11.752471
-36.750001,141,12.229905
113.15,117,12.328995
7.05,99,12.405064
128.85,103,12.48814
562.549969,195,12.643281
62.4,112,12.737367
61.149999,129,12.839459
-11.2,124,12.940551
90.599996,102426.699993,2-104.65,93,13.56.15,1322.35,133,13.-104.7,950.699998,128118.85,179,13.766303
165.199989,112,13.859387
-104.4-104.85,97,13.93-104.987.699982,136,1-104.75,95554.999975,252,14.636599
-85.5,110,477.15,185,259.499993,-12.55,147,14.91285
148.599996,118,4.85,157,15-104.6,92-104.65,93,1-41.45,129,15.193105
209.000001,170,15.340239
506.949999,211,15.876726
-4.25,139,15.99495
-104.9,98,16.074136
115.950001,105,16.158271
308.349996,115,16.252356
316.650001,161,16.368461
-22.25,125,16.460546
41.75,125,16.567643
-104-39.300001,134,16.171.699988,168,17.13616
-85.55,111,17.230246
294.449992,137,17.34435
-104.45,89,17.425423
337.699999,164,17.563549
494.949991,167,17.705678
195.599995,124,17.809773
-81.5,110,17.89485
-105.017.349999,131,18140.55,109,18.424331
-70.75,115,18.516415
-104.9,98,18.594488
-104.9,98,1223.8,124,284.899999,174,18.813686
157.699999,138,18.930792
18.9,102,19.019874
-104.9,527.699953,210-105.0,100,122.099998,106.749998,143,55.849999,1433.349969,15986.249975,13447.649975,14400.49997,152-105.25,105,223.599997,132,20.11587
-105.05-35.300001,138,2-105.0,100162.450001,1-49.550003,141146.45,121,285.599995,110.499999,148,-105.0,100,-105.25,10-104.95,99,21253.0,136,21.177836
-105.15,103,21.260912
-105.1,102,21.349993
-85.9,118,21.440075
57.6,128,21.546172
444.349999,183,22.057637
156.349951,147,22.17174
-104.95,99,22.251813
26.600002,144,22.375926
156.599994,102,22.466009
-43.000001,132,22.575108
294.599972,128,22.678201
429.799987,160,23.173652
-105.2,104,23.262733
-104.9,98,23.348811
148.75,105,23.436892
-104.95,99,23.518966
-105.2,104,23.612405.9-23.75,115,23.712142470.299996,110,23.800222
308.399982,166,23.9023112.-104.85,97,23.9803189.349988,147,24.439804
88.599999,100,24.525882
183.849998,145,24.645495
192.099992,124,24.750-10451.699976,144,24.889717
207.649995,135,25.001819
109.999998,108,25.087897
-70.55,111,25428.35000246.29999,130,25.385.649977,207,25.737488
-26.7379.099972,180,25478.849988,177,25.993721
-105.15,103,26.079799
-104.9,98,26.163876
146.6493.9,182,26.301013
28.150001,137,26.389214
1357.999984,164,26.8-105.05197.5,130,26.989158.8165.349988,113,27.08162.79-104.85,97,27.168096523.949998,181,27.2811163.123.299985,124,27-105.0,1047.65,127,27.-105.2,1-16.3,126,27.5163.199-66.3,126,28.05690448226.449983,173,28.20103-10-104.9,98,28.28110481.049971,183,28.4082233147.500006,152,28.537341-45.449999,149,28.6606.8,1225.849992,135,28.772555
157.449993,111,28.867642
175.39999325.24999,141,29.-105.05,360.449986,129,334.749985,128.949976,133,69.699992,1271.299999,172262.399962,1318.949985,143-104.95,99,2-104.95,99-104.95,99,2272.799987,182,30.066732
-70.55,111,30.539162
546.399997,200,30.709316
-104.9,98,30.786386
111.049999,151,30.919508
-105.25,105,31.004585
-105.25,105,31.094667
-104.75,95,31.1757417587.549999,133,31.294849
-105.25,105,31.747261
300.199992,134,31.860364
78.749999,137,31.978278.4177.34999,119,32.0875130-105.05,101,32.171647-31.099996,154,32.2957116.-104.9,98,32.38384
267.249997,163,32.523967
101.1,154,33.005405
83.049999,137,33.12051
161.799998,126,33.2206
-104.75,95,33.303677
134.35,113,33.395761
-104.9,98,33.471829
92.999994,108,33.556907
58.0,120,33.652994
-82.8,116,33.749082
-104.9,98,34.193485
-104.85,97,34.276561
61.249999,147,34.396671
155.59153.499997,166,34.53-85.6,-105.15,103,34.21.8,124299.25,173,323.7,126,364.55,149,-105.0,100,163.999999,-69.95,119,34.9376.699997,150,35.477157
