model,factor,max_energy,episode,steps,nectar,energy_end,died
autonomous_training_1_25000k.zip,0.25,25,0,103,111.999985,-0.6999999999999993,1
autonomous_training_1_25000k.zip,0.25,25,1,26,0,-0.09999999999999964,1
autonomous_training_1_25000k.zip,0.25,25,2,300,33.99997,15.200000000000003,0
autonomous_training_1_25000k.zip,0.25,25,3,27,0,-0.7999999999999987,1
autonomous_training_1_25000k.zip,0.25,25,4,300,38.29998,9.0,0
autonomous_training_1_25000k.zip,0.25,25,5,26,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.25,25,6,300,31.799984,16.0,0
autonomous_training_1_25000k.zip,0.25,25,7,26,0,-0.19999999999999662,1
autonomous_training_1_25000k.zip,0.25,25,8,27,0,-0.799999999999998,1
autonomous_training_1_25000k.zip,0.25,25,9,26,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.25,25,10,27,26.599998,-0.39999999999999925,1
autonomous_training_1_25000k.zip,0.25,25,11,27,0,-0.7999999999999996,1
autonomous_training_1_25000k.zip,0.25,25,12,34,15,-0.7999999999999996,1
autonomous_training_1_25000k.zip,0.25,25,13,27,0,-0.7999999999999987,1
autonomous_training_1_25000k.zip,0.25,25,14,72,60,-0.7999999999999987,1
autonomous_training_1_25000k.zip,0.25,25,15,26,0,-0.5999999999999959,1
autonomous_training_1_25000k.zip,0.25,25,16,27,0,-0.7999999999999987,1
autonomous_training_1_25000k.zip,0.25,25,17,83,55.499992,-0.499999999999998,1
autonomous_training_1_25000k.zip,0.25,25,18,29,21.899998,-0.7999999999999987,1
autonomous_training_1_25000k.zip,0.25,25,19,36,29.300001,-0.19999999999999662,1
autonomous_training_1_25000k.zip,0.25,25,20,28,15,-0.09999999999999876,1
autonomous_training_1_25000k.zip,0.25,25,21,26,0,-0.1999999999999975,1
autonomous_training_1_25000k.zip,0.25,25,22,26,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.25,25,23,26,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.25,25,24,35,30,-0.09999999999999942,1
autonomous_training_1_25000k.zip,0.25,25,25,26,0,-0.09999999999999964,1
autonomous_training_1_25000k.zip,0.25,25,26,26,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.25,25,27,36,27.0,-0.7999999999999987,1
autonomous_training_1_25000k.zip,0.25,25,28,41,15,-0.5999999999999968,1
autonomous_training_1_25000k.zip,0.25,25,29,27,0,-0.7999999999999989,1
autonomous_training_1_25000k.zip,0.25,25,30,27,0,-0.7999999999999996,1
autonomous_training_1_25000k.zip,0.25,25,31,26,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.25,25,32,31,21.799997,-0.3999999999999986,1
autonomous_training_1_25000k.zip,0.25,25,33,26,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.25,25,34,26,0,-0.1999999999999975,1
autonomous_training_1_25000k.zip,0.25,25,35,78,68.399994,-0.39999999999999947,1
autonomous_training_1_25000k.zip,0.25,25,36,300,41.39998,17.6,0
autonomous_training_1_25000k.zip,0.25,25,37,26,0,-0.49999999999999734,1
autonomous_training_1_25000k.zip,0.25,25,38,26,0,-0.49999999999999734,1
autonomous_training_1_25000k.zip,0.25,25,39,26,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.25,25,40,26,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.25,25,41,26,0,-0.49999999999999734,1
autonomous_training_1_25000k.zip,0.25,25,42,35,31.5,-0.09999999999999876,1
autonomous_training_1_25000k.zip,0.25,25,43,76,39.599995,-0.7999999999999987,1
autonomous_training_1_25000k.zip,0.25,25,44,30,15,-0.09999999999999876,1
autonomous_training_1_25000k.zip,0.25,25,45,26,0,-0.1999999999999975,1
autonomous_training_1_25000k.zip,0.25,25,46,26,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.25,25,47,300,44.999966,18.0,0
autonomous_training_1_25000k.zip,0.25,25,48,48,15,-0.8999999999999966,1
autonomous_training_1_25000k.zip,0.25,25,49,26,0,-0.19999999999999818,1
autonomous_training_1_25000k.zip,0.5,50,0,79,15,-0.49999999999999445,1
autonomous_training_1_25000k.zip,0.5,50,1,52,29.599998,-0.20000000000000084,1
autonomous_training_1_25000k.zip,0.5,50,2,300,37.79999,43.0,0
autonomous_training_1_25000k.zip,0.5,50,3,79,15,-0.20000000000000107,1
autonomous_training_1_25000k.zip,0.5,50,4,51,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.5,50,5,52,0,-0.9000000000000001,1
autonomous_training_1_25000k.zip,0.5,50,6,51,0,-0.5999999999999959,1
autonomous_training_1_25000k.zip,0.5,50,7,164,68.99999,-0.7999999999999838,1
autonomous_training_1_25000k.zip,0.5,50,8,51,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.5,50,9,56,29.799997,-0.2999999999999987,1
autonomous_training_1_25000k.zip,0.5,50,10,300,34.3,42.0,0
autonomous_training_1_25000k.zip,0.5,50,11,52,0,-0.8999999999999975,1
autonomous_training_1_25000k.zip,0.5,50,12,51,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.5,50,13,122,42.599983,-0.09999999999999942,1
autonomous_training_1_25000k.zip,0.5,50,14,62,23.599998,-0.39999999999999947,1
autonomous_training_1_25000k.zip,0.5,50,15,79,15,-0.2999999999999945,1
autonomous_training_1_25000k.zip,0.5,50,16,52,0,-0.5000000000000024,1
autonomous_training_1_25000k.zip,0.5,50,17,51,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.5,50,18,90,45,-0.3999999999999959,1
autonomous_training_1_25000k.zip,0.5,50,19,184,75,-0.09999999999999165,1
autonomous_training_1_25000k.zip,0.5,50,20,51,0,-0.1999999999999975,1
autonomous_training_1_25000k.zip,0.5,50,21,54,29.199997,-0.499999999999998,1
autonomous_training_1_25000k.zip,0.5,50,22,51,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.5,50,23,113,45,-0.9000000000000037,1
autonomous_training_1_25000k.zip,0.5,50,24,94,30,-0.09999999999999942,1
autonomous_training_1_25000k.zip,0.5,50,25,80,31.599998,-0.2999999999999978,1
autonomous_training_1_25000k.zip,0.5,50,26,51,0,-0.20000000000000107,1
autonomous_training_1_25000k.zip,0.5,50,27,300,105.599976,21.600000000000048,0
autonomous_training_1_25000k.zip,0.5,50,28,51,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.5,50,29,80,15,-0.9000000000000001,1
autonomous_training_1_25000k.zip,0.5,50,30,52,0,-0.8999999999999975,1
autonomous_training_1_25000k.zip,0.5,50,31,109,74.39998,-0.600000000000003,1
autonomous_training_1_25000k.zip,0.5,50,32,106,30,-0.09999999999999165,1
autonomous_training_1_25000k.zip,0.5,50,33,78,30,-0.39999999999999303,1
autonomous_training_1_25000k.zip,0.5,50,34,51,0,-0.1999999999999975,1
autonomous_training_1_25000k.zip,0.5,50,35,79,15,-0.699999999999994,1
autonomous_training_1_25000k.zip,0.5,50,36,117,40.19998,-0.19999999999999818,1
autonomous_training_1_25000k.zip,0.5,50,37,300,56.099983,38.0,0
autonomous_training_1_25000k.zip,0.5,50,38,52,0,-0.8999999999999966,1
autonomous_training_1_25000k.zip,0.5,50,39,135,45,-0.5999999999999923,1
autonomous_training_1_25000k.zip,0.5,50,40,106,30,-0.09999999999999232,1
autonomous_training_1_25000k.zip,0.5,50,41,106,30,-0.09999999999999165,1
autonomous_training_1_25000k.zip,0.5,50,42,300,165,19.9,0
autonomous_training_1_25000k.zip,0.5,50,43,107,30,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.5,50,44,110,57.199997,-0.29999999999999805,1
autonomous_training_1_25000k.zip,0.5,50,45,52,0,-0.7999999999999987,1
autonomous_training_1_25000k.zip,0.5,50,46,52,15,-0.5999999999999959,1
autonomous_training_1_25000k.zip,0.5,50,47,51,0,-0.4999999999999982,1
autonomous_training_1_25000k.zip,0.5,50,48,300,65.700005,31.600000000000044,0
autonomous_training_1_25000k.zip,0.5,50,49,51,0,-0.19999999999999662,1
autonomous_training_1_25000k.zip,0.75,75,0,271,92.4,-0.3999999999999895,1
autonomous_training_1_25000k.zip,0.75,75,1,172,48.5,-0.5999999999999923,1
autonomous_training_1_25000k.zip,0.75,75,2,76,0,-0.49999999999999734,1
autonomous_training_1_25000k.zip,0.75,75,3,300,85.5,73.0,0
autonomous_training_1_25000k.zip,0.75,75,4,187,56.39999,-0.8999999999999915,1
autonomous_training_1_25000k.zip,0.75,75,5,244,63.90001,-0.599999999999981,1
autonomous_training_1_25000k.zip,0.75,75,6,76,0,-0.499999999999998,1
autonomous_training_1_25000k.zip,0.75,75,7,229,60.00001,-0.6000000000000014,1
autonomous_training_1_25000k.zip,0.75,75,8,76,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.75,75,9,300,150,54.2,0
autonomous_training_1_25000k.zip,0.75,75,10,88,30.6,-0.5000000000000009,1
autonomous_training_1_25000k.zip,0.75,75,11,104,15,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.75,75,12,166,58.199993,-0.6000000000000101,1
autonomous_training_1_25000k.zip,0.75,75,13,300,158.40001,50.9,0
autonomous_training_1_25000k.zip,0.75,75,14,79,29.199997,-0.5999999999999952,1
autonomous_training_1_25000k.zip,0.75,75,15,300,104.70002,25.500000000000014,0
autonomous_training_1_25000k.zip,0.75,75,16,77,0,-0.6000000000000003,1
autonomous_training_1_25000k.zip,0.75,75,17,160,45,-0.4000000000000039,1
autonomous_training_1_25000k.zip,0.75,75,18,215,70.79999,-0.2999999999999874,1
autonomous_training_1_25000k.zip,0.75,75,19,77,0,-0.9000000000000001,1
autonomous_training_1_25000k.zip,0.75,75,20,78,20.9,-0.09999999999999964,1
autonomous_training_1_25000k.zip,0.75,75,21,76,0,-0.2000000000000044,1
autonomous_training_1_25000k.zip,0.75,75,22,76,0,-0.49999999999999734,1
autonomous_training_1_25000k.zip,0.75,75,23,76,0,-0.6000000000000039,1
autonomous_training_1_25000k.zip,0.75,75,24,76,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.75,75,25,83,26.399998,-0.400000000000025,1
autonomous_training_1_25000k.zip,0.75,75,26,132,30,-0.500000000000006,1
autonomous_training_1_25000k.zip,0.75,75,27,160,45,-0.5999999999999888,1
autonomous_training_1_25000k.zip,0.75,75,28,300,39.29998,66.0,0
autonomous_training_1_25000k.zip,0.75,75,29,77,22.599998,-0.20000000000000107,1
autonomous_training_1_25000k.zip,0.75,75,30,76,15,-0.49999999999999734,1
autonomous_training_1_25000k.zip,0.75,75,31,300,106.499985,22.000000000000014,0
autonomous_training_1_25000k.zip,0.75,75,32,76,0,-0.7000000000000195,1
autonomous_training_1_25000k.zip,0.75,75,33,300,37.599983,68.6,0
autonomous_training_1_25000k.zip,0.75,75,34,300,123.599976,47.599999999999994,0
autonomous_training_1_25000k.zip,0.75,75,35,76,0,-0.29999999999999893,1
autonomous_training_1_25000k.zip,0.75,75,36,300,135,25.80000000000002,0
autonomous_training_1_25000k.zip,0.75,75,37,177,59.4,-0.3000000000000058,1
autonomous_training_1_25000k.zip,0.75,75,38,300,169.2,27.39999999999999,0
autonomous_training_1_25000k.zip,0.75,75,39,300,75.599976,54.0,0
autonomous_training_1_25000k.zip,0.75,75,40,300,135,24.40000000000004,0
autonomous_training_1_25000k.zip,0.75,75,41,76,0,-0.09999999999999876,1
autonomous_training_1_25000k.zip,0.75,75,42,76,0,-0.6000000000000032,1
autonomous_training_1_25000k.zip,0.75,75,43,160,45,-0.499999999999998,1
autonomous_training_1_25000k.zip,0.75,75,44,132,30,-0.09999999999999942,1
autonomous_training_1_25000k.zip,0.75,75,45,132,30,-0.5000000000000053,1
autonomous_training_1_25000k.zip,0.75,75,46,76,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,0.75,75,47,160,45,-0.20000000000000795,1
autonomous_training_1_25000k.zip,0.75,75,48,77,0,-0.9000000000000004,1
autonomous_training_1_25000k.zip,0.75,75,49,160,42.59997,-0.500000000000008,1
autonomous_training_1_25000k.zip,1.0,100,0,156,30,-0.09999999999999587,1
autonomous_training_1_25000k.zip,1.0,100,1,300,156.79994,87.0,0
autonomous_training_1_25000k.zip,1.0,100,2,102,0,-0.9000000000000001,1
autonomous_training_1_25000k.zip,1.0,100,3,240,75,-0.19999999999999662,1
autonomous_training_1_25000k.zip,1.0,100,4,184,45,-0.09999999999998876,1
autonomous_training_1_25000k.zip,1.0,100,5,300,150.29993,81.89999999999999,0
autonomous_training_1_25000k.zip,1.0,100,6,101,15,-0.09999999999999964,1
autonomous_training_1_25000k.zip,1.0,100,7,300,67.4,95.99999999999991,0
autonomous_training_1_25000k.zip,1.0,100,8,185,45,-0.2999999999999996,1
autonomous_training_1_25000k.zip,1.0,100,9,101,0,-5.329070518200751e-15,1
autonomous_training_1_25000k.zip,1.0,100,10,175,60,-0.09999999999999609,1
autonomous_training_1_25000k.zip,1.0,100,11,300,32.899982,88.0,0
autonomous_training_1_25000k.zip,1.0,100,12,300,73.79998,23.499999999999993,0
autonomous_training_1_25000k.zip,1.0,100,13,101,0,-1.5543122344752192e-15,1
autonomous_training_1_25000k.zip,1.0,100,14,209,56.299976,-0.9000000000000392,1
autonomous_training_1_25000k.zip,1.0,100,15,103,20.9,-0.50000000000003,1
autonomous_training_1_25000k.zip,1.0,100,16,240,75,-0.2999999999999845,1
autonomous_training_1_25000k.zip,1.0,100,17,178,45,-0.9000000000000004,1
autonomous_training_1_25000k.zip,1.0,100,18,300,101.39998,27.599999999999994,0
autonomous_training_1_25000k.zip,1.0,100,19,213,57.59999,-0.3000000000000067,1
autonomous_training_1_25000k.zip,1.0,100,20,115,15,-0.9000000000000004,1
autonomous_training_1_25000k.zip,1.0,100,21,223,72.59998,-0.20000000000000728,1
autonomous_training_1_25000k.zip,1.0,100,22,157,30,-0.8999999999999968,1
autonomous_training_1_25000k.zip,1.0,100,23,300,120.899994,10.99999999999999,0
autonomous_training_1_25000k.zip,1.0,100,24,101,0,-0.3000000000000058,1
autonomous_training_1_25000k.zip,1.0,100,25,216,60.6,-0.1999999999999973,1
autonomous_training_1_25000k.zip,1.0,100,26,184,45,-0.49999999999999023,1
autonomous_training_1_25000k.zip,1.0,100,27,129,15,-0.09999999999999942,1
autonomous_training_1_25000k.zip,1.0,100,28,300,185.99986,92.0,0
autonomous_training_1_25000k.zip,1.0,100,29,101,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,1.0,100,30,102,0,-0.9000000000000039,1
autonomous_training_1_25000k.zip,1.0,100,31,300,162.80002,64.6,0
autonomous_training_1_25000k.zip,1.0,100,32,102,0,-0.6000000000000039,1
autonomous_training_1_25000k.zip,1.0,100,33,101,0,-0.1999999999999973,1
autonomous_training_1_25000k.zip,1.0,100,34,157,30,-0.6000000000000068,1
autonomous_training_1_25000k.zip,1.0,100,35,185,45,-0.4000000000000117,1
autonomous_training_1_25000k.zip,1.0,100,36,185,45,-0.7999999999999803,1
autonomous_training_1_25000k.zip,1.0,100,37,157,30,-0.3999999999999966,1
autonomous_training_1_25000k.zip,1.0,100,38,300,77.10001,95.0,0
autonomous_training_1_25000k.zip,1.0,100,39,213,56.70001,-0.7000000000000082,1
autonomous_training_1_25000k.zip,1.0,100,40,300,104.399994,22.500000000000007,0
autonomous_training_1_25000k.zip,1.0,100,41,240,75,-0.29999999999999893,1
autonomous_training_1_25000k.zip,1.0,100,42,300,176.69997,85.89999999999999,0
autonomous_training_1_25000k.zip,1.0,100,43,300,133.19998,50.79999999999998,0
autonomous_training_1_25000k.zip,1.0,100,44,300,196.2,64.19999999999999,0
autonomous_training_1_25000k.zip,1.0,100,45,300,41.900005,96.0,0
autonomous_training_1_25000k.zip,1.0,100,46,213,60,-0.10000000000002429,1
autonomous_training_1_25000k.zip,1.0,100,47,300,167.59999,81.89999999999999,0
autonomous_training_1_25000k.zip,1.0,100,48,300,135.59998,79.59999999999994,0
autonomous_training_1_25000k.zip,1.0,100,49,185,45,-0.799999999999988,1
autonomous_training_1_25000k.zip,1.25,125,0,300,105.6,27.699999999999974,0
autonomous_training_1_25000k.zip,1.25,125,1,300,38.299984,117.6,0
